Origin,Destination,Hotel Property,Hotel Nights Stay,Hotel Check In Date,Hotel Check Out Date,Expedia Package Price/Person,JetBlue Package Price/Person,% Savings (Compared to Expedia),Month,Advance_weeks,count
BOS,JFK,"70 Park Avenue Hotel, a Kimpton Hotel",3.00,2015/10/21,2015/10/24,1088.73,991.22,8.96%,10.00,within 1 wk,1
BOS,JFK,"70 Park Avenue Hotel, a Kimpton Hotel",7.00,2015/10/23,2015/10/30,1729.70,1657.41,4.18%,10.00,within 1 wk,1
BOS,JFK,"70 Park Avenue Hotel, a Kimpton Hotel",7.00,2015/10/21,2015/10/28,1906.37,1883.47,1.20%,10.00,within 1 wk,1
BOS,JFK,"70 Park Avenue Hotel, a Kimpton Hotel",7.00,2015/10/24,2015/10/31,1684.68,1673.87,0.64%,10.00,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3.00,2015/10/21,2015/10/24,1118.69,709.14,36.61%,10.00,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7.00,2015/11/07,2015/11/14,1310.76,951.52,27.41%,11.00,1-2 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7.00,2015/11/04,2015/11/11,1345.08,1044.93,22.31%,11.00,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7.00,2015/11/14,2015/11/21,1346.53,1072.96,20.32%,11.00,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3.00,2015/10/24,2015/10/27,780.83,625.13,19.94%,10.00,within 1 wk,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,3.00,2015/11/14,2015/11/17,704.91,568.13,19.40%,11.00,2-4 wks,1
JFK,MSY,AC Hotel by Marriott New Orleans Bourbon/French Quarter Area,7.00,2015/11/15,2015/11/22,1415.17,1141.51,19.34%,11.00,2-4 wks,1
